muhogo	Cassava
ekyesindiko	Self-confidence, self-assurance,leisurely, stately walk
ebyesindiko	Self-confidence, self-assurance,leisurely, stately walks
ekyesingiso	Loofah, sponge
ebyesingiso/ekikuto/ekijumakuba	Loofah, sponges
ekyesegenyu	Strainer for water
ebyesegenyu	Strainer for waters
ekyeremye	Rebelliousness, disobedience
ebyeremye	Rebelliousness, disobediences
ekyenyanja	Fish
ebyenyanja	Fishes
ekyokyezo	A burning place
ebyokyezo	Burning places
eraihiriza	To stand on tiptoe
eraoga	To announce oneself
ereega	To be taut, tightened
erinduka	To wince, start
erora/kugezesa	To examine or seeoneself
erabura	To be insolent, inquisitive
erozaroza	To pretend to search
esansara	To scatter
esereka	To hide oneself
esiga	To trust, rely on
esiiga	To smear oneself
esiikiriza	To coveroneself, camouflage
esiitara	To stumble, trip
esimba	To become surety
esibiirra	To stick on; insist
escra	To give water (cattle)
esenguJa	To settle on lees
eseemura	To sneeze
esama	To open the mouth
esagura	To pillow one's self
kwimukya obusungu	Raise ones grief
kwimukya obusungu	Raise ones griefs
kugaita	To mix with
kusereka	To hide
erambira	To lick up one's
erahiirra	To make a vow
esingoleza	To sweep idly
kufika	To miss
esoka	To gorge oneself
esonsogora	To plume feathers, preen
esooboora	To slink off
esorooza	To assemble, come together
esungunika	To keep to oneself
eta	To call, invite
etaabya	Intrude
etabaga	Splash about
etabatabika	To be mixed up
kwepana	To dodge
eteega	To gird oneself
eteekaniza	To get ready, prepare
etendebeka	To balance oneself
kuguruka	To skip
kuhiga	Go hunting alone
etiriginya	To wriggle
eterega	To gambol, skip
kujingajinga	To fidget
kujingjinga	To skip, gambol
etembeeka	To presume, take upon
kwececura	To securitise, examine, understand
eteegura	To ungird oneself
etanga	To control oneself, refrain
etaba	Toentangle oneself
esweka	To cover oneself
esuusa	To swing oneself
esungusura	Go away alone
esoroora	To separate oneself, withdraw
esokoora	To clean, pick out
etooratoora	To be handy, skilful
kwaralikira	To worry, be anxious
eturumbwijura	To be lazy, dawdle
eyahukaniza	To separate oneself,exclude oneself
eyamura	To yawn
kukaba	To challenge
eyiba	To escape, slink off
eyiita	To commit suicide
eyongosa	To twist; go unwillingly
eyorobya	To insinuate oneself,fawn
eyunguura	To separate, disperse
ezinda	To destroy oneself
ezinguurra	To unwind oneself
eyobyo	Spider plant
eyagura	To scratch oneself
etuuma	To crowd together
eturubika	To huddle oneself up
etunguurra	To slip off
etooliikn	To be skilful, romantic
ebikoreso	Materials. 2) utensils
ebijwaro	Clothings, garments
ebijaburiro	Fomentations
ebiino	Large teeth
ebihera	Odd numbers
ebicwanta	Saliva
ebicooli	Maize plant
ebicaani	Campfire made for cows
ebbeeseni	A basin
ebbaibbuli	The Bible
ebbahaasa	Envelope
ebirengeso	Examinations or tests
ebicwanyagurika	**broken pieces**
ebigene	Something done excessively
ebigonzi	Waves
ebihaburo	Pieces of advice
ebihimba	Beans
ebihwazi	Impaired vision
ebiiga	Swellings on cattle hips
ebijaga	Syphilis
ebijenge	Water-logged ground
ebitakuri	Sweet potatoes
ebihya	New things
ebisingo	Garden rubbish
ebisigarira	Left-overs
ebisekule	Food without salt
ebisa	Labour pains
ebirwaniso	Weapons
ebirungo	Spices
ebirego	Rumours
ebiraatwa	A pair of shoes
ebinyiga	Saltless food or sauce
ebinyangabo	Edible mushrooms
ebinyansi	Weeds, tall grass
ebingonzi	Water waves
ebimira	Mucus from the nose
ebikya	Neck
ebikwato	Items touse, tools, implements
ebikuti	Millet husks
ebikyenkya	Pozzolan
ebindi	Others: the rest
ebinyaanyindo	Nasalised manner of speech
ebinyoobwa	Groundnuts
ebinzaali	Curry powder
ekirahure	Sw.1) spectacles. 2) glasses
ebirahure	Sw.1) spectacles. 2) glasseses
ebireju	Beards
ebirika	Snow
ebirungi	Good things
ebisosonkoro	Empty match boxes
ebisurugutururu	Ear wax
ekiigaana	Shallow pool
ebiigaana	Shallow pools
ekihwijo	Fern, air freshener
ebihwijo	Fern, air fresheners
ekihurro	Creeper
ebihurro	Creepers
ekihukuzi	A mole
ebihukuzi	Moles
ekihongole	Shade for calves
ebihongole	Shade for calveses
ekihoiga	Bit of grass
ebihoiga	Bit of grasses
ekiho	Haze, mist, fog
ebiho	Haze, mist, fogs
ekihika	Expectation, curiosity, longing for
ebihika	Expectation, curiosity, longing fors
ebihiba	Fresh beans
ebihimba	Fresh beanses
ekihangwa	A creature, created thing
ebihangwa	Creature, created things
ekihanga	Valley
ebihanga	Valleys
ekihaha	A lung
ebihaha	Lungs
ekigwo	A fall
ebigwo	Falls
ekigugu	Smell of burning food
ebigugu	Smell of burning foods
ekigonzi	A wave
ekigurukano	Occasionally; not often
ebigurukano	Occasionally; not oftens
ekihuurika	An absent minded person
ebihuurika	Absent minded persons
ekigwara	Occasionally; not often
ebigwara	Occasionally; not oftens
ekigogo	Banana fibre
ebigogo	Banana fibres
ekigono	The act of snoring
ebigono	Act of snorings
ekigundu	The big one
ebigundu	Big ones
ekigwererezi	Accident, unexpected problem
ebigwererezi	Accident, unexpected problems
ekihangara	Palate
esahani	Palates
ekihaso	Pneumonia
ebihaso	Pneumonias
ekihihi	Cold, dull weather
ebihihi	Cold, dull weathers
ekihoihorya	Butterfly
ebihoihorya	Butterflies
ekijuju	Tsetsefly
ebijuju	Tsetseflies
ekihooya	Wound, sore
ebihooya	Wound, sores
ekihuguhugu	A bat
ebihuguhugu	Bats
ekihururwa	Climbing plant
ebihururwa	Climbing plants
ekihuumuro	Holiday,rest
ebihuumuro	Holiday,rests
ekihyo	Large knife, machete, sword
ebihyo	Large knife, machete, swords
ekinyampo	Passing air, a fart
ebinyampo	Passing air, a farts
ekinyamakeka	Civet-ca
ebinyamakeka	Civet-cas
ekinyabwoya	A woolly caterpillar
ebinyabwoya	Woolly caterpillars
ekinunko	Bad smell
ebinunko	Bad smells
ekintana	The queen termite
ebintana	Queen termites
ekiniga	Anger
ebiniga	Angers
ekingoleka	An idiot, an imbecile
ebingoleka	Idiot, an imbeciles
ekinaga	Cooking pot
ebinaga	Cooking pots
ekimiro	A deep voice
ebimiro	Deep voices
ekimera	A growing plant
ebimera	Growing plants
ekimara	Arrow
ebimara	Arrows
ekikwato	Household
ebikwato	Households
ekikwasi	Safety pin
ebikwasi	Safety pins
ekikururuzo	**track, trail**
ebikururuzo	**track, trail**s
ekikunya	Stump of a tree
ebikunya	Stump of a trees
ekikungulima	A projecting thing
ebikungulima	Projecting things
ekikule	Hunting-horn
ebikule	Hunting-horns
ekikugizo	Title of honour
ebikugizo	Title of honours
ekikonkonamiti	Woodpecker
ebikonkonamiti	Woodpeckers
ekikonkomago	Wood pecker
ebikonkomago	Wood peckers
ekikonkomi	Large lizard
ebikonkomi	Large lizards
ekikoonora	Bull dozer
ebikoonora	Bull dozers
ekikorwa	Deed, act
ebikorwa	Deed, acts
ekikura	A large trench
ebikura	Large trenches
ekinuuko	Stench: a bad smell
ebinuuko	Stench: a bad smells
ekilaaya	Irish potato
ebilaaya	Irish potatos
ekimeeri	Friendship without blood- brotherhood
ebimeeri	Friendship without blood- brotherhoods
ekinaabiro	Bathroom
ebinaabiro	Bathrooms
ekingoora	Crow
ebingoora	Crows
ekinosi	Protuberance above navel
ebinosi	Protuberance above navels
ekintu	A thing
ebintu	Things
ekinyabaisiki	Mushroom: an edible mushroom
ebinyabaisiki	Mushroom: an edible mushrooms
ekibazo	Sentence: a complete statement
ebibazo	Sentence: a complete statements
ekibbaati	An old iron sheet
ebibbaati	Old iron sheets
ekibbiriiti	A match box
ebibbiriiti	Match boxes
ekibero	Thigh, lap
ebibero	Thigh, laps
ekibiriza	Boiled meat
ebibiriza	Boiled meats
ekibindi	Clay or wooden bowl
ebibindi	Clay or wooden bowls
ekibunu/ekitiri	Buttocks
ebibunu/ebitiri	Buttockses
ekibwegurra	A hairy stinging caterpillar
ebibwegurra	Hairy stinging caterpillars
omukonko	Sw.cereal: maize cob
emikonko	Sw.cereal: maize cobs
ekicu	Cloud
ebicu	Clouds
ekibbaali	Spirit shrine for twins
ebibbaali	Spirit shrine for twinses
ekibiriiti	Match box
ebibiriiti	Match boxes
ekibira	Forest
ebibira	Forests
ekibonwomwe	A shooting star
ebibonwomwe	Shooting stars
ekibunda	A dull rainy day
ebibunda	Dull rainy days
ekibwana	Puppy: a young dog
ebibwana	Puppy: a young dogs
ekicooli	Maize
ebicooli	Maizes
ekinyangondookyera/ekitindinda	A snail
ebinyangondookyeraebitindinda	Snails
endobeso	Fish-trap
endobeso	Fish-traps
ekinyomo	A large brown ant
ebinyomo	Large brown ants
ekinyonyi	Bird
ebinyonyi	Birds
ekinywa	Vein, artery
ebinywa	Vein, arteries
ekintu	Things
ebintu	Thingses
ekipampagara	Mud guard
ebipampagara	Mud guards
ekiranga	A broken pot
ebiranga	Broken pots
ekipanga	Panga, matchet
ebipanga	Panga, matchets
ekiragaano	Covenant, agreement
ebiragaano	Covenant, agreements
ekirahuli	Glass, tumbler
ebirahuli	Glass, tumblers
ekirali	Wild
ebirali	Wilds
ekiramukyo	Small present, remembrance
ebiramukyo	Small present, remembrances
ekinyamunsungusungu	Crested eagle
ebinyamunsungusungu	Crested eagles
ekinyoobwa	Groundnut
ekinyumyo	Festivity or feast
ebinyumyo	Festivity or feasts
ekinywabwino	Blotting paper
ebinywabwino	Blotting papers
ekipaali	Papyrus mat
ebipaali	Papyrus mats
ekipande	Reading sheet, notice, card
ebipande	Reading sheet, notice, cards
ekirandakwata	A useless person
ebirandakwata	Useless persons
ekipiira	Jerrycan
ebipiira	Jerrycans
ekirabyo	Flower, blossom
ebirabyo	Flower, blossoms
ekirahiro	Oath, vow
ebirahiro	Oath, vows
ekirale	A trail of men
ebirale	Trail of mens
ekirangirro	Proclamation,anouncement
ebirangirro	Proclamation,anouncements
ekireere	Dry banana fibres
ebireere	Dry banana fibreses
embabazi	Sympathy,grace, kindness
embambagya	Smart, clever person
embaraasi	Horse
embasuko	Spring of trap
embaza	Speech, pronunciation, talking of
embegede emberra	Fish with snout virgin
embogo	Buffalo
embumbe/ekyekulingirire	Round shaped
embunduguru	Rounded or rotund object
emboijana	A friendless person
embomboza	Lonely person, vagrant
emboni	Pupil of the eye
embanza	Beginning
embatamo	Extended flat bums
embone	Eyelids
embaya	Dry papyrus stalks
emberenge	Dried maize grains
emboyi	Bully, tyrant
embumbatizi	Sitting hen, broody hen
emburara	JaraguÃ¡ (Hyparrhenia rufa)
embwa embyara	A dog planting
emeeza	Table
emera	Shape, appearance
emigambire	Way of speaking, pronunciation
embwakazi	Bitch: a female dog
emigaatwa	Malnourished domestic animals
embungu	A small boring beetle
emburabura	Foreigner, homeless person
emenge	Blaze
emibbwebbwe	Half-cooked potatoes
emigaramo	Idleness, leisure
emitego	Bowed legs
embugo	Bark cloth
embunda	A dull day
embuuru	Sea: very large lake
embuzi	A goat or sheep
embyamyamu	A reclining chair
emengo	Grinning stones
emerezi	Self sown or planted
emicungiro	Dirt in the nail
emirabanamu	Bothersome problems
emilyoni ikumi	Ten million
empande	Bambara nuts
emilyoni	One billion
eminwa	Lips
eminyeeto	The youth
emirembe emitalibaine	Peace
emitalibaine	Problems, worries, difficultie
emitegano	Business, hard work
emirindi	Tramping of many fee
emitumanyuma	Between the shoulder blades
emyetuno	Showing off, affectation, vanity
empooza	Taxi levied, dues, customs
empotole	Undiluted sweet banana juice
empuka	East wind
empulirizo	Small opening of cavity
encumate	Thick eye secretions
encwekye	Someone who dies childless
empuruuturro	Sliding loop, noose, bow
empuule	Unground millet, loose grain
empuunisa	Nasal sounds
empwamaani	Invalid, weak, passive person
empwerwa	Utterly destitute person
empwite	Very old person, senile
ebitanga	Spots: small round spots
ebyahandiikirwe	Scriptures: religious writings
ebyobutegeki	Politics: matters of politics
ebisigi	Eyebrows
ebitaara	Car head lamps
ebiteere	Dried cassava
ebyenda	Intestines, offals
ebyondo	Mud: soft sticky mud
ebyohyo	Roastings
ebyoya	Hair
eduuka	Shop, business premise
efirimbi	Whistle
ebitarira	Scattered animal spots
eboote	The aged
ebyakwahwa	Armpit hair
ebyamaka	Family matters
ebyari	Rags
ebya Sitaani	Evil acts
ecupa	Bottle
edubu	Sear
egaaju	A brown cow
Egiigya	Type of loan grass
egomborra	Sub-county
egyambiya	Machette
ejoora	Roll ofcloth
eka	A home, a homestead
ekambi	Hard working
ekarwa	Type of grass
ekelezia	Church
ekibako	Tomb
ebibako	Tombs
ebibaara	Ekibaaras
ekibanda	Carpenter's shade
ebibanda	Carpenter's shades
egaali	Bicycle
egaragara	Lizard
egi	Which
egunga	A specie of grass
ego mail	Truly
ehiira	Porriedge: sour porridge
ekaanyuma	Behind the house
ekaraamu	Pencil, writing instrument
ekanisa	Church
ekirimi	Flames of fire
ebirimi	Flames of fires
ekirego	A secret accusation
ebirego	Secret accusations
ekiremba	A head- cloth
ebiremba	Head- cloths
ekiriisa	Fertility/ nutrition
ebiriisa	Fertility/ nutritions
ekirubi	A furnace
ebirubi	Furnaces
ekirongooro	Return present
ebirongooro	Return presents
ekirungo	Seasoning, spice
ebirungo	Seasoning, spices
ekireego	Taut string
ebireego	Taut strings
ekirenge	Hoof, foot
ebirenge	Hoof, foots
ekirere	Gourd of milk
ebirere	Gourd of milks
ekirumiko	A vessel cupping- hoi
ebirumiko	Vessel cupping- hois
ekiromba	I protruding navel
ebiromba	I protruding navels
ekirooto	A dream
ebirooto	Dreams
ekirukirro	Nickname
ebirukirro	Nicknames
ekirurumo	A low-pitched mumbling sound
ebirurumo	Low-pitched mumbling sounds
ekisaaru	A reedlike swamp grass
ebisaaru	Reedlike swamp grasses
ekisagiko	Ornament: hair beads
ebisagiko	Ornament: hair beadses
ekisa	Labour pain
ekizaaiiiro/ ekisaaru	Swamp, stream, river
ebizaaiiiro/ ekisaaru	Swamp, stream, rivers
ekisabiko	Herbal purgative
ebisabiko	Herbal purgatives
ekisanju	Whip
ebisanju	Whips
ekisasaazi	Spark (of fire)
ebisasaazi	Spark (of fire)s
ekisegu	Sexual urge
ebisegu	Sexual urges
ekisengiijo	Filter
ebisengiijo	Filters
ekisense	Ragged edge, rag
ebisense	Ragged edge, rags
ekisanku	Dry cow dung
ebisanku	Dry cow dungs
ekisensero	Entrance: a posterior gate
ebisensero	Entrance: a posterior gates
ekisinjo	Rage: violent uncontrolled anger
ebisinjo	Rage: violent uncontrolled angers
ekisore	Puppy: a young dog
ebisore	Puppy: a young dogs
ekisutama-hamwe	A traditional stool
ebisutama-hamwe	Traditional stools
ekisaatu	Skin, hide
ebisaatu	Skin, hides
ekisago	A pillow,cushion
ebisago	Pillow,cushions
ekisambizo ekisanuruzo	Spur of cock comb
ebisambizo ekisanuruzo	Spur of cock combs
ekisarazi	Numbness, cramp
ebisarazi	Numbness, cramps
ekisebe	Beetle larva, grub
ebisebe	Beetle larva, grubs
ekisengeijo	Strainer
ebisengeijo	Strainers
ekisamba	Floating vegetation on water
ebisamba	Floating vegetation on waters
ekisonga	Chest pain
ebisonga	Chest pains
ekisorosoro	Navel: a big navel
ebisorosoro	Navel: a big navels
ekisoma	Fresh bean leaves
ebisoma	Fresh bean leaveses
ekisurugu	Groundnut husk
ebisurugu	Groundnut husks
ekisizi	A plant disease
ebisizi	Plant diseases
ekisyarazi	Stagnant water
ebisyarazi	Stagnant waters
ekitaba	Ditch
ebitaba	Ditches
ekitabaswa	A suit case
ebitabaswa	Suit cases
ekitaka	A clod
ebitaka	Clods
ekitaraariire	Something that happens unexpectedly
ebitaraariire	Something that happens unexpectedlies
ekisiika	Partition,wall, room
ebisiika	Partition,wall, rooms
ekisindikwa	Turf, sod
ebisindikwa	Turf, sods
ekisinziro	Heel
ebisinziro	Heels
ekisirya	Calabash, gourd
ebisirya	Calabash, gourds
ekisomabwire	A nightjar bird
ebisomabwire	Nightjar birds
ekisombera	A very large basket
ebisombera	Very large baskets
ekisonko	Sea shell
ebisonko	Sea shells
ekisoonante	A kind of grass
ebisoonante	Kind of grasses
ekisunsuzo	A comb
ebisunsuzo	Combs
ekisweko	Blister
ebisweko	Blisters
ekitanakya	Emetic, makesone vomit
ebitanakya	Emetic, makesone vomits
ekisire	Obstinate person
ebisire	Obstinate persons
ekisooko	A locally made cigarette
ebisooko	Locally made cigarettes
ekitabaraara	The guest of honour
ebitabaraara	Guest of honours
ekisiibo	Fasting period
ebisiibo	Fasting periods
ekisingolezo	A broom
ebisingolezo	Brooms
ekisumuruzo	A key, an opener
ebisumuruzo	Key, an openers
ekisuzi	Wildcat, bed bug
ebisuzi	Wildcat, bed bugs
ekisusu	Peel, husk, fore skin
ebisusu	Peel, husk, fore skins
ekitaatnutoole	Nonsense
ebitaatnutoole	Nonsenses
ekitabujuguta	Civet-cat
ebitabujuguta	Civet-cats
ekitakuli	Potato
ebitakuli	Potatos
ekitanake	Heap of vomit
ebitanake	Heap of vomits
ekitangaazo	A microscope
ebitangaazo	Microscopes
endyakiro	Mouse
endyanga	Skinbag, leather bag
enfuuzi	Orphan
engaba	Distribution, giving
engambisa	Vowels
engano	Wheat flour,wheat
enganja	White geranium
engurumbanyi	Untrust-worthy person
endyaga	Plenty of food
eenimi	Bull: male cattle
enfaana	Tapeworm
enfunjo	Papyrus for craft work
enfuuni	A worn out hoe
enfumbi	Swollen glands
engabi	Bushbuck
engabwa	General, commander, ambassador, representative
engagya	Large spotted hyena
engamba	Shell spoon,sea shell
engambo	Dialect, speech,utterance or rumour
enganga	Loan meat
enganjani	Friend
enganyi	Sorrow, sadness
engasa	Small delicious fish
engazi	Palm oil
engendo	Travels, journeys
engenzigenzi	Type of beetle
engingo	Shape, figure, joint
engoga	Open wound
engombe	Hoot
engonero	Secretion from the mouth
engonzi	Love, affection
engoro	Reed
engoto	Nape of neck
enguha	Tick, mite
engumangane	Hard-hearted, obstinate
engunu	Gum (of teeth)
engururrumi	Stunted child
enguudo	High road, street
enguzi	Bribe
enio	Buttocks, bottom
enjaza	Reedbuck
enjeru	White sheep, cow
engarukamu	Way of answering
engaase	Sundried meat
engenzi	Traveller
engiga	Notch, joint, point
engo	Leopard
engobya	Cunning deceitful person, cheat
engoma	Drum, throne
engona	Slime on stagnant water
engondo	Cuts on the body
engonge	Otter
engoonyo	Camping-place, tennporary shelter
engorombe	Stunted child, cow
engoye	Clothes
engungumale	Obstinate
engundizi	Weakling; long-lived person
engwara	Horn trumpet
engweterano	From generation to generation
enimi	Bull
enjaahi	Indian hemp, opium, bhang
enjabule	Cropped ears
enjagirizi	Flatterer
enjatu	Destructive gale
enjenga	Many banana gardens together
enjoga	Water container
enjoka	Snake; internal pains
enjoki	Bees
enjuba	Blood pudding
enjunza	Jigger
enkambi	Restcamp
enkali	Urine
enkango	End goal, stopping-place
enkenko	Vinegar
enkerebe	Dog-faced ape, baboon
enkana	A neck swelling
enjuza	Twisted papyrus ropes
enjwaranna	Way of clothing, attire
enkaanaana enkaina	Flowers donkey
enkaka	Heart-burn, anthrax
enkamba-be	Diligent, work hard
enkangaasi	Hoof
enkanjaiga	Times
enkaranga	Huge elephant
enkarwa	Leg trick in wrestling
enkeeho	Waning moon
enkenyera	Groaning, discontent; pain, ache
enkere	Water frog
enkerembe	Infant, baby
entabukatabuka	Muddle, confusion, commotion
entaka	Clod, sod
entangize	Time just after sunrise
entaratazi	Wanderer, roamer
enteerabwire	Cock
enteeraniza	A way of joining
entemamuhoro	Mantis
enterebuki	Shirker, dodger
entimbo	Small royal drum
entoijo	Freshly churned cow ghee
entongana	Defence; apology; pleading
entajumba	Guinea fowl
entama	Mouthful
entale	A lion
entambu	Pace, short distance, strides
entandikiro	Beginning, start, origin
entangatangano	Cross-roads, junction
entarutahu	Walk very quickly
entebe	Chair
entema	Small calabash cup
entenyi	Trial by ordeal
entimagizi	Malachite king-fisher
entimbure	Mixed food
entondo	Small type of grasshopper
entongole	Kind of harp
entoole	Water frog, stupid person
entumba	A loud fart
entulirra	Self-sown potatoes
entundwa	Very lightcoloured millet
entungo	Sim-sim seeds
entuuru	A wild cat
enumi	Bull: a male cow
enyakibabi	A green coloured snake
enturabusa	Swollen gland
enturro	Sourness, acidity
entuuha	Crested crane
entuuyo	State of perspiration, sweat
entyabiri	A species of mushrooms
enuuni	Duodenum
enyaani	Coffee-berries
enyabatimbo	Silkworm
enyahukana	Difference
enyakabara	Native-born
enyama	Meat, flesh, muscle
enyamahamba	Type of edible mushroom
entumbi	A corpse of cattle
entumbwe	Calf
entuumuuki	Blankshot
entuuru	A fall
enusu	Coin: metallic currency
enyamaiswa	An animal
enturuba	Gurgle, bubble, slobber
entuutu	Cape goose berries
entwe	Ears of millet
enwa	Hornet,wasps
enyabisaaniko	Evening star
enyakibisi	Fresh beans
enyamagaro n	Pincers, pliers
Eba	To be forgotten
Ebabura	Of his/her relative
Ebiihabiiha	To deceive oneself
Ebondoiga	To vomit (dog etc.)
Ebundaaza	To humble oneself
Eceeba	To wear many clothes(woman)
Ecunda	To drag oneself along
Efoora	To pretend to be
egaa rraamu,	To pluck up courage
Ebaarra	To be cautious
Ebabara	To beware
Ebaganizaamu	To withdraw oneself
Ebairuka	To be startled
Ebeteka	To sit down carelessly
Ebiihiirra	To boast groundlessly
Ebiihiraniza	To provoke one another
Ebiijagura	To belch
ebin ga	To fly for refuge
Ebumbiirra	To wrap oneself up
Ebwa	To forget
Ecencura	To fully understand, comprehend
Ecumiitiriza	To think deeply
ecundacu nda,	To rock oneself
Ecuraniza	To sit properly
Ecwacwana	To writhe, wag, wriggle
Edikya	To fall heavily
Efaafaaniza	To be dirty, slovenly
Efuba	To hide
Ega	To learn
Egama	To starve
Egambiirra	To exhort oneself
Eganyira	To pity oneself
Eganira	To leave off doing
Egejageja	To malinger
Egemba	To shave oneself
Egemuliza	To fetch one's food
Egesa	To teach, educate
Egiza	To pretend
Egonyoorra	To stretch oneself
Egurukya	To deny having done
Ehaisa	To flatter oneself, boast
Ehakana	To deny knowledge of
Ebengeka	To lean sideways
Ehenyenga	Forge
Ehingahingisa	To be changeable
Ehoima	To be quarrelsome
Eganya	To be lazy, weak
Eganyiirra	Become lazy
Egarukamu	To repent, reconcile
Egegecrra	To handle carefully
Egema	To bend, be flexible
Egendera	To take oneself off
Egenya	To frown
Egogeza	To be self
Egonesa	To feign sleep
Egoora	To enjoy oneself
Ebaabira	To boast
Ehara	To scratch oneself, avoid
Ehemura	To debase oneself
Ehenya	To search diligently
eh.tita,	To work tirelessly
Ehinguliriza	To surround, go round
Ehiringisa	To roll
Ehonga	To dedicate oneself
Ebooga	To republic an acquaintance
Ehoza	To lend
Ehungura	To put on airs
Ehuuga	To rinse
Ebyohya	To change one's mind
Ejuura	To undress oneself
Ekanga	To be indolent, lazy
Ekaranduza	To clear the throat
Ekeerreema	To reflect_ ponder
Ekima	To bide
Ekingira	To shut oneself in
Ekonga	Shrug the shoulders
Ekopa	To buy on credit
Ebotoora	To rub oneself
Ehotora	To wind
Ehugya	To ignore, pretend
Ehuuta	To walk very fast
Ebyahyaniza	To fidget
ejw eka	Oneself
Ekaakura	To scratch oneself
ekagu ra,	To taste(food) again, repeat
Ekaguza	To examine oneself, reflect
Ekeehereza	To draw in stomach
Ekcndura	To gird oneself tightly
Ekilka	To be cross wise
Ekooka	To retch
Ekoonyera	To help oneself
Ekubakuba	To become tangled
Ekubirana	To take one's ease
Ekugusa	To slip past
Ekulingilrra	To be round, spherical
Ekumba	To join with others
Ekumbya	To roll oneself
Ekuusa	To rub oneself
Ekwasa	To make excuses
Emanya	To be selfish, vain
Emanyisa	To make oneself
Emigiza	To squeeze oneself against
Emogora	To make a grimace
Emwa	To shave oneself
Ena	All of me
Enegura	To regain one's strength
Enuuba	To become miserable, unhappy
Eoyini	Self, selves
Epaoka	To be proud
Eraga	To vow, pledge, promise
Ekubiriza	Earnestly entreat
Ekukumika	To hide, escape
Ekuliiriza	To take upon oneself
Ekulingura	To roll, wallow
Ekuma	To sit nicely
Ekuuma	To chew the cud
Ekuuyuuya	To shade wings (termites)
Emaanyura	Pull out one's hair
Embi	Both
Emererwa	To have pain
Endereza	To oppress, bully, afflict
Eoka	Self, selves
Eoyuma	Behind
Eragaza	To wipe oneself
Empooka	Survivor
Empugutani	Forgetful, scatterbrained person
Empulirro	Ear passage
Empunu	Pig, wild bear
Emyerande	Potatoes uprooted from runners
Empya	Way of burning
Emyehurro	Conceit, boastfulness
Emyekuniko	Pride, arrogance, unnecessary quietness
Emyesungo	Cheeky, rudeness, perversity, affectation
Empuku	Weevil
Empungira	Sleeping-sickness
Empurizana	Communication
Emputa	Wounded person
Empyo	Crocodile
Emyehaahiro	Boasting, selfishness
Emyehembo	Conceit, boastfulness
Emyekuzo	Conceit, boastful
emyenda ya'bunyoro	Praise, self-exaltation, boasting
Emyombekere	Style of building, architecture
Enaanaasi	Pineapple
Encamparya	Withered breasts
Encikinya	Flies
Encompya	Untrustworthy, deceitful person, mischief-maker
Encwangya	Tricky person, unreliable person
Endaade	Large, long-legged cock
Endaawa	A castrated bull
Endagaano	Agreement, covenant, bargain
Endagalika	Odd one, fallen thing
Endahiro	Oath, vow, protestation
Endale	Wild yam
Endangaazi	Hartebeest
Endeberwamu	Looking-glass, mirror
Endebolebo	Border, edge
Endambi	Tapeworm
Enamba	Hole in the earth
Enceke	Weakly person, invalid
Encu	Fish
Encuro	A measure; time
Endabukya	Sharp, clever person
endamya	Worship, ritual
Endebe	Small bell-like ornament
Endehwa	Fine
Enderalera	Lower part of abdomen
Endigito	Sound of running footsteps
Endiirakumara	A wild dog
Endimi	Languages, tongues
Endimiro	Cultivated plot, field
Endobo	Fish-hook
Nyineeka afeera aka ye'.	The house owner dies for his home
fa	To die, be destroyed, become useless
amaiso; amatu; obusaija	Become blind; Become deaf; Become impotent
faabbiina	To work hard
kukaba kufaabbiina kw 'amani kwija kumara enju enu; Mugume akaba nafaabbiinisibwa enju ye obu yahoire yahuumura	It was real hard work finishing this house; It was the construction of his house that made Mugume work hard, he has come to rest after finishing it
faafaana	To come to nothing, be destroyed, wear out
akafaafaanira mukyaro; akakira muno kufaafaanizibwa obulemu	He/she came ended up in ruins while in the village; Be/she was worn out by the war
faafaaniza	To throw about, give away, waste
faahongana	To mind each other, care for each other
nooha ayafaahonganisize abantu abo; ira kabataafahongaana? enju ye efaakaire kundi	Who have made those people care for each other, they never did so in the past; His house looks very untidy
faakuuza	To make a rustling noise (e.g. Animal in grass), scuffle
feekya	To snuffle
feerra	To die for on, on behalf of
Yesu Kiristo akatufeerra hamusalaba	Jesus Christ died for us on the cross
feerwa	To be bereaved of, lose.
fiisa	Die
abaana be babiri akabafiisiza Kyaka	She lost her two children in Kyaka.
foorogora	To change butter sauce from pot to bowl and bowl to pot till water in which butter is being cooked has changed to white
footooka	To grow soft and baby, be deflated
omupiira gwa motoka ye gukafootookera omukiikaro ekibi	The tyre for his/her car got deflated in a dangerous place
fooba	To plait, interlace, tack in
-amabingo bakozeseze ekiaali bakagafoobera kukikozesa kurungi.	-the reeds which they used for the King's enclosure were interlaced so as to make it look smart.
foobera	Of a soft thing, to be easily compressed, fall in and upward when pressed
fooka	Become, be made, change, draw (a bow)
omukozi yaleesire akamufookera kasaarre	The workman he/she employed became a problem to him/her.
footookeerra	To be vacillating, unsteady
footora	To squash
foototora	To defecate, void feaces anonymously
fuba	To cause misfortune, bring bad luck
endagu ifubire	Divination has given information of misfortune
fuba	To throw away (esp. Bad milk), amata agafiire bagafubire, milk that has gone bad has been thrown away
-amata agafiire gayine kunangwa	-bad milk should be thrown away
fubata	To be tightly covered up
omuhiiha tigufubasire kurungi hakyanzi; omukazi onu emihiiha ye tagifubasa kurungi habyanzi	The lid is not holding tightly on the wooden milk vessel; This woman does not see to it that the lids do fubeera fukumura bold tightly on the wooden milk vessel
fubeera	To have second thought when you are ready to do something, e.g. Spearing
