runyoro_term,english_term,part_of_speech,domain,definition_en,notes
enkukuuru,[GENERAL_NOUN] horn trumpet,,general,,
enkumba,[GENERAL_NOUN] white millet,,general,,
enkumo,[GENERAL_NOUN] fingers,,general,,
enkunda,[GENERAL_NOUN] red-tailed cercopitheque,,general,,
enkungani,"[GENERAL_NOUN] strife, quarrel",,general,,
enkunzi,[GENERAL_NOUN] lover,,general,,
enkakaara,[GENERAL_NOUN] guinea fowl,,general,,
enkurugusi,[GENERAL_NOUN] intruder,,general,,
enkusi,[GENERAL_NOUN] stupid person,,general,,
enkuuku,[GENERAL_NOUN] pigeon peas,,general,,
enkwahwa,[GENERAL_NOUN] armpit,,general,,
enkwanzi,[GENERAL_NOUN] beads,,general,,
ensaagi,[GENERAL_NOUN] surplus,,general,,
ensaali,[GENERAL_NOUN] loquats,,general,,
enkuya,[COMMON_ANIMALS_NOUN] large ape,,general,,
enkwali,[GENERAL_NOUN] quail,,general,,
enkwomoro,[GENERAL_NOUN] waning moon,,general,,
ensamya,[GENERAL_NOUN] simsim,,general,,
ensekure,[COMMON_ANIMALS_NOUN] a ram,,general,,
ensonga,[HEALTH_AND_MEDICINE_NOUN] menstruation period,,health,,
ensonga,[HEALTH_AND_MEDICINE_NOUN] SW.cattle disease,,health,,
ensamaaki,[GENERAL_NOUN] fish,,general,,
ensaano,"[GENERAL_NOUN] flour, powder",,general,,
enseegu,"[GENERAL_NOUN] pipe, flute",,general,,
enseenene,[GENERAL_NOUN] edible grasshoppers,,general,,
enseesekale,[GENERAL_NOUN] loose cents,,general,,
enseko,"[GENERAL_NOUN] laughter, fun",,general,,
ensenge,[GENERAL_NOUN] giant hog,,general,,
etanaki,"[GENERAL_NOUN] nausea, vomit",,general,,
ensidirirwa,[GENERAL_NOUN] muzzle-loader,,general,,
ensigo,[GENERAL_NOUN] kidney; seed,,agriculture,,
ensimbi,[GENERAL_NOUN] money,,general,,
ensisana,"[GENERAL_NOUN] shape, appearance",,general,,
ensobi,"[GENERAL_NOUN] mistake, error",,general,,
ensembukya,[GENERAL_NOUN] short-bladed spear,,general,,
ensenada,[GENERAL_NOUN] cast,,general,,
ensengo,[GENERAL_NOUN] fetters,,general,,
ensere,[COMMON_ANIMALS_NOUN] hippopotamus,,general,,
ensiisira,[GENERAL_NOUN] temporary shelter,,general,,
ensita,[GENERAL_NOUN] secret,,general,,
ensoborra,[GENERAL_NOUN] explanation,,general,,
ensohera,[GENERAL_NOUN] housefly,,general,,
ensombabyoma,[GENERAL_NOUN] silkworm,,general,,
ensondokozi,[GENERAL_NOUN] biting ant,,general,,
ensonjogo,[HEALTH_AND_MEDICINE_NOUN] tertiary syphilis,,health,,
ensorrokano,[GENERAL_NOUN] assemblies,,general,,
ensubiirizi,[GENERAL_NOUN] imitator,,general,,
entaahi,[COMMON_ANIMALS_NOUN] swallow,,general,,
entanaki,[GENERAL_NOUN] vomit,,general,,
entenge,[GENERAL_NOUN] small beads,,general,,
enswa,[GENERAL_NOUN] white ants,,general,,
ensoha,[GENERAL_NOUN] water- jar,,general,,
ensombi,[GENERAL_NOUN] mud-fish,,general,,
ensoni,"[GENERAL_NOUN] shame, embarrassment",,general,,
ensooki,[GENERAL_NOUN] insolent person,,general,,
ensorooza,[GENERAL_NOUN] collection,,general,,
ensubiiriza,[GENERAL_NOUN] imitation,,general,,
enswiga,[GENERAL_NOUN] black nightshade,,general,,
entiizano,[GENERAL_NOUN] borrowed things,,general,,
enyuma,[GENERAL_NOUN] behind,,general,,
enziramira,[COMMON_ANIMALS_NOUN] python,,general,,
enziiki,[GENERAL_NOUN] burial fee,,general,,
enziransi,[GENERAL_NOUN] West wind,,general,,
enzooro,[GENERAL_NOUN] full moon,,general,,
eraatiri,[GENERAL_NOUN] a pound,,general,,
erangi,[GENERAL_NOUN] colour,,general,,
eriiba,"[GENERAL_NOUN] dove, pigeon",,general,,
amaiba,"[GENERAL_NOUN_PLURAL] dove, pigeons",,general,,
eriiso-ry'ensi,[GENERAL_NOUN] abyss,,general,,
amaiso-ry'ensi,[GENERAL_NOUN_PLURAL] abysses,,general,,
eryogero,[GENERAL_NOUN] bathroom,,general,,
amaogero,[GENERAL_NOUN_PLURAL] bathrooms,,general,,
esaara,[GENERAL_NOUN] prayer,,general,,
enyumbu,[COMMON_ANIMALS_NOUN] mule,,general,,
enza,[GENERAL_NOUN] pubic Hair,,general,,
enzige,[COMMON_ANIMALS_NOUN] locust,,general,,
enziha,[GENERAL_NOUN] deep water,,general,,
enziku,[GENERAL_NOUN] gonorrhoea,,general,,
enzini,"[ART_AND_ENTERTAINMENT_NOUN] singer, dancer",,general,,
enzizi,[GENERAL_NOUN] wound,,general,,
enzooka,"[GENERAL_NOUN] appearance, view",,general,,
epipa,"[GENERAL_NOUN] barrel, pipe",,general,,
eri,[GENERAL_NOUN] which,,general,,
amarogo,[GENERAL_NOUN_PLURAL] whiches,,general,,
eriino,[GENERAL_NOUN] tooth,,general,,
amaino,[GENERAL_NOUN_PLURAL] tooths,,general,,
amaanda,[GENERAL_NOUN_PLURAL] dry cells,,general,,
eryato,[GENERAL_NOUN] a boat,,general,,
amaato,[GENERAL_NOUN_PLURAL] boats,,general,,
eruguru,"[GENERAL_NOUN] top, overthere",,general,,
eryana,[GENERAL_NOUN] childishness,,general,,
engumba,[GENERAL_NOUN_PLURAL] childishnesses,,general,,
esaati,[GENERAL_NOUN] shirt,,general,,
esasazi,[GENERAL_NOUN] sparks,,general,,
esabwe,[GENERAL_NOUN] butter sauce,,general,,
esafuliya,[GENERAL_NOUN] saucepan,,general,,
esenza,[COMMON_ANIMALS_NOUN] SW.cane rat,,general,,
esokondwa,[COMMON_ANIMALS_NOUN] caterpillar,,general,,
esuuka,[GENERAL_NOUN] bed sheets,,general,,
esirabo,[GENERAL_NOUN] common duiker,,general,,
esigara,[GENERAL_NOUN] cigarettes,,general,,
esimu,[GENERAL_NOUN] telephone,,general,,
esabbuuni,[GENERAL_NOUN] soap,,general,,
esafaali,"[GENERAL_NOUN] journey, tour",,general,,
esagama,[GENERAL_NOUN] blood,,general,,
esapuli,[GENERAL_NOUN] rosary,,general,,
esande,[GENERAL_NOUN] banana juice,,general,,
esweta,[GENERAL_NOUN] sweater,,general,,
esimooni,[GENERAL_NOUN] fifty cents,,general,,
esirimbi,[GENERAL_NOUN] whistle,,general,,
etaaba,"[GENERAL_NOUN] tobacco, cigeretts",,general,,
etabaaza,[GENERAL_NOUN] lantern,,general,,
etarabuusu,[GENERAL_NOUN] turkish hut,,general,,
etanka,[GENERAL_NOUN] tank,,general,,
evaaro/eveero,[GENERAL_NOUN] veil,,general,,
eveesiti,[GENERAL_NOUN] vest,,general,,
eyange,[GENERAL_NOUN] mine,,general,,
ezange,[GENERAL_NOUN] mine,,general,,
ezikeere,[GENERAL_NOUN] pelican,,general,,
etawaaza,[GENERAL_NOUN] See: ETABAAZA,,general,,
etuutu,"[GENERAL_NOUN] sweat, perspiration",,general,,
etundubaale,[GENERAL_NOUN] tarpauline,,general,,
evanjiri,[GENERAL_NOUN] the gospel,,general,,
eviini,[GENERAL_NOUN] wine,,general,,
ezaabbu,[GENERAL_NOUN] gold,,general,,
ekikonderezo,[GENERAL_NOUN] a curse,,general,,
ebikonderezo,[GENERAL_NOUN_PLURAL] curses,,general,,
ekikoijo,[GENERAL_NOUN] sugarcane,,general,,
ebikoijo,[GENERAL_NOUN_PLURAL] sugarcanes,,general,,
ekikondo,[GENERAL_NOUN] milestone,,general,,
ebikondo,[GENERAL_NOUN_PLURAL] milestones,,general,,
ekikongoijo,[COMMON_ANIMALS_NOUN] millipede,,general,,
ebikongoijo,[COMMON_ANIMALS_NOUN_PLURAL] millipedes,,general,,
ekikoori,[GENERAL_NOUN] eye blow,,general,,
ebikoori,[GENERAL_NOUN_PLURAL] eye blows,,general,,
ekikorongezo,[GENERAL_NOUN] a torch,,general,,
ebikorongezo,[GENERAL_NOUN_PLURAL] torches,,general,,
ekikorwa,[GENERAL_NOUN] an act,,general,,
ebikorwa,[GENERAL_NOUN_PLURAL] acts,,general,,
ekitindinda,"[GENERAL_NOUN] snail, slug",,general,,
ebitindinda,"[GENERAL_NOUN_PLURAL] snail, slugs",,general,,
ekitimatima,[GENERAL_NOUN] the last,,general,,
ebitimatima,[GENERAL_NOUN_PLURAL] lasts,,general,,
ekitiiri,"[GENERAL_NOUN] anus, buttock",,general,,
ebitiiri,"[GENERAL_NOUN_PLURAL] anus, buttocks",,general,,
ekiteete,[GENERAL_NOUN] umoa grass,,general,,
ebiteete,[GENERAL_NOUN_PLURAL] umoa grasses,,general,,
ekiteekerezo,"[GENERAL_NOUN] idea, thought",,general,,
ebiteekerezo,"[GENERAL_NOUN_PLURAL] idea, thoughts",,general,,
ekitingwa,[GENERAL_NOUN] sexually loose,,general,,
ebitingwa,[GENERAL_NOUN_PLURAL] sexually looses,,general,,
ekiteete,[GENERAL_NOUN] lemon grass,,general,,
ebiteete,[GENERAL_NOUN_PLURAL] lemon grasses,,general,,
ebitentere,[COMMON_ANIMALS_NOUN_PLURAL] young grasshoppers,,general,,
ekiteetei,[GENERAL_NOUN] dress,,general,,
ebiteetei,[GENERAL_NOUN_PLURAL] dresses,,general,,
ebitinti,[GENERAL_NOUN_PLURAL] patched garmens,,general,,
ekitiyo,[GENERAL_NOUN] spade,,general,,
ebitiyo,[GENERAL_NOUN_PLURAL] spades,,general,,
ekyata-muzinga,[GENERAL_NOUN] honey-eating animal,,general,,
ebyata-muzinga,[GENERAL_NOUN_PLURAL] honey-eating animals,,general,,
ekitumbwe,[GENERAL_NOUN] **unripe fruit.**,,general,,
ebitumbwe,[GENERAL_NOUN_PLURAL] **unripe fruit.**s,,general,,
ekisige,[GENERAL_NOUN] eye blows,,general,,
ebisige,[GENERAL_NOUN_PLURAL] eye blowses,,general,,
ekitooma,[GENERAL_NOUN] ficus tree,,general,,
ebitooma,[GENERAL_NOUN_PLURAL] ficus trees,,general,,
ekitontome,[GENERAL_NOUN] poem,,general,,
ebitontome,[GENERAL_NOUN_PLURAL] poems,,general,,
ekyenda,"[GENERAL_NOUN] the stomach,intestine",,general,,
ebyenda,"[GENERAL_NOUN_PLURAL] stomach,intestines",,general,,
ekyemo,[GENERAL_NOUN] physical stature,,general,,
ebyemo,[GENERAL_NOUN_PLURAL] physical statures,,general,,
ekyemerro,[GENERAL_NOUN] stature,,general,,
ebyemerro,[GENERAL_NOUN_PLURAL] statures,,general,,
ebyemeza,[GENERAL_NOUN_PLURAL] self-propagated plants,,agriculture,,
ekyekwaso,[GENERAL_NOUN] excuse,,general,,
ebyekwaso,[GENERAL_NOUN_PLURAL] excuses,,general,,
ebyekurra,[GENERAL_NOUN_PLURAL] crawling things,,general,,
ekyegemera,[MATHEMATICS_NOUN] a set-square,,general,,
ebyegemera,[MATHEMATICS_NOUN_PLURAL] set-squares,,general,,
ekyeera,[GENERAL_NOUN] albino,,general,,
ebyeera,[GENERAL_NOUN_PLURAL] albinos,,general,,
ebyasha,[GENERAL_NOUN_PLURAL] heart burns,,general,,
ekyate,[GENERAL_NOUN] a crack,,general,,
ebyate,[GENERAL_NOUN_PLURAL] cracks,,general,,
ekyaro,"[GENERAL_NOUN] village, estate",,general,,
ebyaro,"[GENERAL_NOUN_PLURAL] village, estates",,general,,
ekyaraani,[GENERAL_NOUN] sowing machine,,general,,
ebyaraani,[GENERAL_NOUN_PLURAL] sowing machines,,general,,
ekyara,"[GENERAL_NOUN] finger, toe",,general,,
ebyara,"[GENERAL_NOUN_PLURAL] finger, toes",,general,,
ekyanyuma,"[GENERAL_NOUN] post, stamp",,general,,
ebyanyuma,"[GENERAL_NOUN_PLURAL] post, stamps",,general,,
ekyange,[GENERAL_NOUN] mine,,general,,
ebyange,[GENERAL_NOUN_PLURAL] mines,,general,,
eky'ensekuro,[GENERAL_NOUN] pestle,,general,,
eby'ensekuro,[GENERAL_NOUN_PLURAL] pestles,,general,,
ekyambu,[GENERAL_NOUN] river,,general,,
ebyambu,[GENERAL_NOUN_PLURAL] rivers,,general,,
ekyambara,[COMMON_ANIMALS_NOUN] dog's collar,,general,,
ebyambara,[COMMON_ANIMALS_NOUN_PLURAL] dog's collars,,general,,
ekyakyo,"[GENERAL_NOUN] flower,blossom",,general,,
ebyakyo,"[GENERAL_NOUN_PLURAL] flower,blossoms",,general,,
ekyokunya,[GENERAL_NOUN] drink,,general,,
ebyokunya,[GENERAL_NOUN_PLURAL] drinks,,general,,
ekyahati/kirokinu,[GENERAL_NOUN] today,,general,,
ebyahati,[GENERAL_NOUN_PLURAL] todays,,general,,
ekyadundu,"[GENERAL_NOUN] pouch,crop",,agriculture,,
ebyadundu,"[GENERAL_NOUN_PLURAL] pouch,crops",,agriculture,,
ekufuru,"[GENERAL_NOUN] lock, padlock",,general,,
ekooko,[GENERAL_NOUN] cocoa fruit,,general,,
ekondo,[GENERAL_NOUN] coronets,,general,,
ekizizi,[GENERAL_NOUN] swarm,,general,,
ebizizi,[GENERAL_NOUN_PLURAL] swarms,,general,,
embaata,"[COMMON_ANIMALS_NOUN] duck, goose",,general,,
emana,[GENERAL_NOUN] vagina,,general,,
emambo,[GENERAL_NOUN] pegs,,general,,
emaaya,[COMMON_ANIMALS_NOUN] ostrich,,general,,
edobo,"[GENERAL_NOUN] pail, bucket",,general,,
ekyoya,"[GENERAL_NOUN] feather, hair",,general,,
ebyoya,"[GENERAL_NOUN_PLURAL] feather, hairs",,general,,
ekyoto,"[GENERAL_NOUN] fireplace, hearth",,general,,
ebyoto,"[GENERAL_NOUN_PLURAL] fireplace, hearths",,general,,
ekyose,[GENERAL_NOUN] hair bracelet,,general,,
ebyose,[GENERAL_NOUN_PLURAL] hair bracelets,,general,,
ekyonzira,[GENERAL_NOUN] sacrifice,,general,,
ebyonzira,[GENERAL_NOUN_PLURAL] sacrifices,,general,,
ekyomuziro,[GENERAL_NOUN] forbidden thing,,general,,
ebyomuziro,[GENERAL_NOUN_PLURAL] forbidden things,,general,,
ekyombeko,[GENERAL_NOUN] building,,general,,
ebyombeko,[GENERAL_NOUN_PLURAL] buildings,,general,,
ekyokurwanisa,[GENERAL_NOUN] weapon,,general,,
ebyokurwanisa,[GENERAL_NOUN_PLURAL] weapons,,general,,
ekyokuhonga,[GENERAL_NOUN] offering,,general,,
ebyokuhonga,[GENERAL_NOUN_PLURAL] offerings,,general,,
ekyokujwara,"[GENERAL_NOUN] garment, cloth",,general,,
ebyokujwara,"[GENERAL_NOUN_PLURAL] garment, cloths",,general,,
ekyohyo,[GENERAL_NOUN] temptation,,general,,
ebyohyo,[GENERAL_NOUN_PLURAL] temptations,,general,,
ekyeyo,[GENERAL_NOUN] broom,,general,,
ebyeyo,[GENERAL_NOUN_PLURAL] brooms,,general,,
ekyeyamura,[GENERAL_NOUN] yawn,,general,,
ebyeyamura,[GENERAL_NOUN_PLURAL] yawns,,general,,
ebyeya,[GENERAL_NOUN_PLURAL] level plains,,general,,
ekyetaago,[GENERAL_NOUN] a need,,general,,
ebyetaago,[GENERAL_NOUN_PLURAL] needs,,general,,
ekyetebuko,[GENERAL_NOUN] an echo,,general,,
ebyetebuko,[GENERAL_NOUN_PLURAL] echos,,general,,
ekyesingo,[GENERAL_NOUN] self-will,,general,,
ebyesingo,[GENERAL_NOUN_PLURAL] self-wills,,general,,
ekyesingiso,"[GENERAL_NOUN] loofah, sponge",,general,,
ebyesingiso/ekikuto/ekijumakuba,"[GENERAL_NOUN_PLURAL] loofah, sponges",,general,,
ekyeremye,"[GENERAL_NOUN] rebelliousness, disobedience",,general,,
ebyeremye,"[GENERAL_NOUN_PLURAL] rebelliousness, disobediences",,general,,
ekyenyanja,[GENERAL_NOUN] fish,,general,,
ebyenyanja,[GENERAL_NOUN_PLURAL] fishes,,general,,
ebyokyezo,[GENERAL_NOUN_PLURAL] burning places,,general,,
esansara,[GENERAL_VERB] to scatter,,general,,
eseemura,[GENERAL_VERB] to sneeze,,general,,
kusereka,[GENERAL_VERB] to hide,,general,,
kufika,[GENERAL_VERB] to miss,,general,,
etaabya,[GENERAL_NOUN] intrude,,general,,
etabaga,[GENERAL_NOUN] splash about,,general,,
kwepana,[GENERAL_VERB] to dodge,,general,,
kuguruka,[GENERAL_VERB] to skip,,general,,
etiriginya,[GENERAL_VERB] to wriggle,,general,,
kujingajinga,[GENERAL_VERB] to fidget,,general,,
etaba,[GENERAL_NOUN] toentangle oneself,,general,,
eyamura,[GENERAL_VERB] to yawn,,general,,
kukaba,[GENERAL_VERB] to challenge,,general,,
eyobyo,[GENERAL_NOUN] Spider plant,,agriculture,,
ebisoro,[GENERAL_NOUN] animals,,general,,
ebijwaro,"[GENERAL_NOUN] clothings, garments",,general,,
ebijaburiro,[GENERAL_NOUN] fomentations,,general,,
ebiino,[GENERAL_NOUN] large teeth,,general,,
ebihera,[GENERAL_NOUN] odd numbers,,general,,
ebicwanta,[GENERAL_NOUN] saliva,,general,,
ebicooli,[GENERAL_NOUN] maize plant,,agriculture,,
ebbeeseni,[GENERAL_NOUN] a basin,,general,,
ebbaibbuli,[GENERAL_NOUN] The Bible,,general,,
ebbahaasa,[GENERAL_NOUN] envelope,,general,,
ebicwanyagurika,[GENERAL_NOUN] **broken pieces**,,general,,
ebigonzi,[GENERAL_NOUN] waves,,general,,
ebihimba,[GENERAL_NOUN] beans,,agriculture,,
ebihwazi,[GENERAL_NOUN] impaired vision,,general,,
ebijaga,[HEALTH_AND_MEDICINE_NOUN] syphilis,,health,,
ebijenge,[GENERAL_NOUN] water-logged ground,,general,,
ebitakuri,[GENERAL_NOUN] sweet potatoes,,general,,
ebihya,[GENERAL_NOUN] new things,,general,,
ebisingo,[GENERAL_NOUN] garden rubbish,,general,,
ebisigarira,[GENERAL_NOUN] left-overs,,general,,
ebisa,[HEALTH_AND_MEDICINE_NOUN] labour pains,,health,,
ebirwaniso,[GENERAL_NOUN] weapons,,general,,
ebirungo,[GENERAL_NOUN] spices,,general,,
ebirego,[GENERAL_NOUN] rumours,,general,,
ebinyangabo,[GENERAL_NOUN] edible mushrooms,,general,,
ebingonzi,[GENERAL_NOUN] water waves,,general,,
ebikya,[GENERAL_NOUN] neck,,general,,
ebikuti,[GENERAL_NOUN] millet husks,,general,,
ebikyenkya,[GENERAL_NOUN] pozzolan,,general,,
ebinyoobwa,[GENERAL_NOUN] groundnuts,,general,,
ebinzaali,[GENERAL_NOUN] curry powder,,general,,
ebireju,[GENERAL_NOUN] beards,,general,,
ebirika,[GENERAL_NOUN] snow,,general,,
ebirungi,[GENERAL_NOUN] good things,,general,,
ebisurugutururu,[GENERAL_NOUN] ear wax,,general,,
ekiigaana,[GENERAL_NOUN] shallow pool,,general,,
ebiigaana,[GENERAL_NOUN_PLURAL] shallow pools,,general,,
ekihurro,[GENERAL_NOUN] creeper,,general,,
ebihurro,[GENERAL_NOUN_PLURAL] creepers,,general,,
ekihukuzi,[COMMON_ANIMALS_NOUN] a mole,,general,,
ebihukuzi,[COMMON_ANIMALS_NOUN_PLURAL] moles,,general,,
ebihiba,[GENERAL_NOUN] fresh beans,,agriculture,,
ebihimba,[GENERAL_NOUN_PLURAL] fresh beanses,,agriculture,,
ekihanga,[GENERAL_NOUN] valley,,general,,
ebihanga,[GENERAL_NOUN_PLURAL] valleys,,general,,
ekihaha,[GENERAL_NOUN] a lung,,general,,
ebihaha,[GENERAL_NOUN_PLURAL] lungs,,general,,
ekigwo,[GENERAL_NOUN] a fall,,general,,
ebigwo,[GENERAL_NOUN_PLURAL] falls,,general,,
ekigonzi,[GENERAL_NOUN] a wave,,general,,
ebigonzi,[GENERAL_NOUN_PLURAL] waves,,general,,
ekigogo,[GENERAL_NOUN] banana fibre,,general,,
ebigogo,[GENERAL_NOUN_PLURAL] banana fibres,,general,,
ebigundu,[GENERAL_NOUN_PLURAL] big ones,,general,,
ekihangara,[GENERAL_NOUN] palate,,general,,
esahani,[GENERAL_NOUN_PLURAL] palates,,general,,
ekihaso,[HEALTH_AND_MEDICINE_NOUN] pneumonia,,health,,
ebihaso,[HEALTH_AND_MEDICINE_NOUN_PLURAL] pneumonias,,health,,
ekihoihorya,[COMMON_ANIMALS_NOUN] butterfly,,general,,
ebihoihorya,[COMMON_ANIMALS_NOUN_PLURAL] butterflies,,general,,
ekijuju,[GENERAL_NOUN] tsetsefly,,general,,
ebijuju,[GENERAL_NOUN_PLURAL] tsetseflies,,general,,
ekihooya,"[GENERAL_NOUN] wound, sore",,general,,
ebihooya,"[GENERAL_NOUN_PLURAL] wound, sores",,general,,
ekihuguhugu,[COMMON_ANIMALS_NOUN] a bat,,general,,
ebihuguhugu,[COMMON_ANIMALS_NOUN_PLURAL] bats,,general,,
ekihururwa,[NATURE_AND_ENVIRONMENT_NOUN] climbing plant,,agriculture,,
ebihururwa,[NATURE_AND_ENVIRONMENT_NOUN_PLURAL] climbing plants,,agriculture,,
ekihuumuro,"[GENERAL_NOUN] holiday,rest",,general,,
ebihuumuro,"[GENERAL_NOUN_PLURAL] holiday,rests",,general,,
ekinyamakeka,[GENERAL_NOUN] civet-ca,,general,,
ebinyamakeka,[GENERAL_NOUN_PLURAL] civet-cas,,general,,
ebinyabwoya,[COMMON_ANIMALS_NOUN_PLURAL] woolly caterpillars,,general,,
ekinunko,[GENERAL_NOUN] bad smell,,general,,
ebinunko,[GENERAL_NOUN_PLURAL] bad smells,,general,,
ebintana,[GOVERNANCE_AND_ADMINISTRATION_NOUN_PLURAL] queen termites,,general,,
ekiniga,[GENERAL_NOUN] anger,,general,,
ebiniga,[GENERAL_NOUN_PLURAL] angers,,general,,
ekinaga,[GENERAL_NOUN] cooking pot,,general,,
ebinaga,[GENERAL_NOUN_PLURAL] cooking pots,,general,,
ebimiro,[GENERAL_NOUN_PLURAL] deep voices,,general,,
ebimera,[GENERAL_NOUN_PLURAL] growing plants,,agriculture,,
ekimara,[GENERAL_NOUN] arrow,,general,,
ebimara,[GENERAL_NOUN_PLURAL] arrows,,general,,
ekikwato,[GENERAL_NOUN] household,,general,,
ebikwato,[GENERAL_NOUN_PLURAL] households,,general,,
ekikwasi,[GENERAL_NOUN] safety pin,,general,,
ebikwasi,[GENERAL_NOUN_PLURAL] safety pins,,general,,
ekikururuzo,"[GENERAL_NOUN] **track, trail**",,general,,
ebikururuzo,"[GENERAL_NOUN_PLURAL] **track, trail**s",,general,,
ebikungulima,[GENERAL_NOUN_PLURAL] projecting things,,general,,
ekikule,[GENERAL_NOUN] hunting-horn,,general,,
ebikule,[GENERAL_NOUN_PLURAL] hunting-horns,,general,,
ekikonkonamiti,[GENERAL_NOUN] woodpecker,,general,,
ebikonkonamiti,[GENERAL_NOUN_PLURAL] woodpeckers,,general,,
ekikonkomago,[GENERAL_NOUN] wood pecker,,general,,
ebikonkomago,[GENERAL_NOUN_PLURAL] wood peckers,,general,,
ekikonkomi,[COMMON_ANIMALS_NOUN] large lizard,,general,,
ebikonkomi,[COMMON_ANIMALS_NOUN_PLURAL] large lizards,,general,,
ekikoonora,[COMMON_ANIMALS_NOUN] bull dozer,,general,,
ebikoonora,[COMMON_ANIMALS_NOUN_PLURAL] bull dozers,,general,,
ekikorwa,"[GENERAL_NOUN] deed, act",,general,,
ebikorwa,"[GENERAL_NOUN_PLURAL] deed, acts",,general,,
ebikura,[GENERAL_NOUN_PLURAL] large trenches,,general,,
ekilaaya,[GENERAL_NOUN] irish potato,,general,,
ebilaaya,[GENERAL_NOUN_PLURAL] irish potatos,,general,,
ekinaabiro,[GENERAL_NOUN] bathroom,,general,,
ebinaabiro,[GENERAL_NOUN_PLURAL] bathrooms,,general,,
ekingoora,[COMMON_ANIMALS_NOUN] crow,,general,,
ebingoora,[COMMON_ANIMALS_NOUN_PLURAL] crows,,general,,
ekintu,[GENERAL_NOUN] a thing,,general,,
ebintu,[GENERAL_NOUN_PLURAL] things,,general,,
ebibbiriiti,[GENERAL_NOUN_PLURAL] match boxes,,general,,
ekibero,"[GENERAL_NOUN] thigh, lap",,general,,
ebibero,"[GENERAL_NOUN_PLURAL] thigh, laps",,general,,
ekibiriza,[GENERAL_NOUN] boiled meat,,general,,
ebibiriza,[GENERAL_NOUN_PLURAL] boiled meats,,general,,
ekibunu/ekitiri,[GENERAL_NOUN] buttocks,,general,,
ebibunu/ebitiri,[GENERAL_NOUN_PLURAL] buttockses,,general,,
ekicu,[GENERAL_NOUN] cloud,,general,,
ebicu,[GENERAL_NOUN_PLURAL] clouds,,general,,
ekibiriiti,[GENERAL_NOUN] match box,,general,,
ebibiriiti,[GENERAL_NOUN_PLURAL] match boxes,,general,,
ekibira,[GENERAL_NOUN] forest,,general,,
ebibira,[GENERAL_NOUN_PLURAL] forests,,general,,
ebibonwomwe,[GENERAL_NOUN_PLURAL] shooting stars,,general,,
ekicooli,[GENERAL_NOUN] maize,,agriculture,,
ebicooli,[GENERAL_NOUN_PLURAL] maizes,,agriculture,,
ekinyangondookyera/ekitindinda,[GENERAL_NOUN] a snail,,general,,
ebinyangondookyeraebitindinda,[GENERAL_NOUN_PLURAL] snails,,general,,
endobeso,[GENERAL_NOUN] fish-trap,,general,,
endobeso,[GENERAL_NOUN_PLURAL] fish-traps,,general,,
ekinyonyi,[GENERAL_NOUN] bird,,general,,
ebinyonyi,[GENERAL_NOUN_PLURAL] birds,,general,,
ekinywa,"[BIOLOGY_NOUN] vein, artery",,general,,
ebinywa,"[BIOLOGY_NOUN_PLURAL] vein, arteries",,general,,
ekintu,[GENERAL_NOUN] things,,general,,
ebintu,[GENERAL_NOUN_PLURAL] thingses,,general,,
ekipampagara,[GENERAL_NOUN] mud guard,,general,,
ebipampagara,[GENERAL_NOUN_PLURAL] mud guards,,general,,
ebiranga,[GENERAL_NOUN_PLURAL] broken pots,,general,,
ekipanga,"[GENERAL_NOUN] panga, matchet",,general,,
ebipanga,"[GENERAL_NOUN_PLURAL] panga, matchets",,general,,
ekiragaano,"[GENERAL_NOUN] covenant, agreement",,general,,
ebiragaano,"[GENERAL_NOUN_PLURAL] covenant, agreements",,general,,
ekirahuli,"[GENERAL_NOUN] glass, tumbler",,general,,
ebirahuli,"[GENERAL_NOUN_PLURAL] glass, tumblers",,general,,
ekirali,[GENERAL_NOUN] wild,,general,,
ebirali,[GENERAL_NOUN_PLURAL] wilds,,general,,
ekinyamunsungusungu,[COMMON_ANIMALS_NOUN] crested eagle,,general,,
ebinyamunsungusungu,[COMMON_ANIMALS_NOUN_PLURAL] crested eagles,,general,,
ekinyoobwa,[GENERAL_NOUN] groundnut,,general,,
ebinyoobwa,[GENERAL_NOUN_PLURAL] groundnuts,,general,,
ekinywabwino,[GENERAL_NOUN] blotting paper,,general,,
ebinywabwino,[GENERAL_NOUN_PLURAL] blotting papers,,general,,
ekipaali,[GENERAL_NOUN] papyrus mat,,general,,
ebipaali,[GENERAL_NOUN_PLURAL] papyrus mats,,general,,
ebirandakwata,[GENERAL_NOUN_PLURAL] useless persons,,general,,
ekipiira,[GENERAL_NOUN] jerrycan,,general,,
ebipiira,[GENERAL_NOUN_PLURAL] jerrycans,,general,,
ekirabyo,"[GENERAL_NOUN] flower, blossom",,general,,
ebirabyo,"[GENERAL_NOUN_PLURAL] flower, blossoms",,general,,
ekirahiro,"[GENERAL_NOUN] oath, vow",,general,,
ebirahiro,"[GENERAL_NOUN_PLURAL] oath, vows",,general,,
ekirangirro,"[GENERAL_NOUN] proclamation,anouncement",,general,,
ebirangirro,"[GENERAL_NOUN_PLURAL] proclamation,anouncements",,general,,
embabazi,"[GENERAL_NOUN] sympathy,grace, kindness",,general,,
embaraasi,[COMMON_ANIMALS_NOUN] horse,,general,,
embogo,[COMMON_ANIMALS_NOUN] buffalo,,general,,
embumbe/ekyekulingirire,[GENERAL_NOUN] round shaped,,general,,
